,Title,Author,Description,Num_ratings,Avg_rating,Genres_list,Main_genre,Secondary_genre,Num_pages,ISBN,Link
206,Gang Leader for a Day,Sudhir Venkatesh,"The story of the young sociologist who studied a Chicago crack-dealing gang from the inside captured the world's attention when it was first described in Freakonomics. Gang Leader for a Day is the fascinating full story of how Sudhir Venkatesh managed to gain entrée into the gang, what he learned, and how his method revolutionized the academic establishment.   When Venkatesh walked into an abandoned building in one of Chicago's most notorious housing projects, he was looking for people to take a multiple-choice survey on urban poverty. A first-year grad student, he would befriend a gang leader named JT and spend the better part of the next decade inside the projects under JT's protection, documenting what he saw there.   Over the next seven years, Venkatesh observed JT and the rest of the gang as they operated their crack selling business, conducted PR within their community, and rose up or fell within the ranks of the gang's complex organizational structure.   Gang Leader for a Day is an inside view into the morally ambiguous, highly intricate, often corrupt struggle to survive in an urban war zone. It is also the story of a complicated friendship between two young and ambitious men, a universe apart. ",20841,4.05,"{'non-fiction': 695, 'sociology': 252, 'memoir': 99, 'economics': 75, 'crime': 71, 'biography': 60}",non-fiction,sociology,302,9781594201509,https://www.goodreads.com//book/show/1491906.Gang_Leader_for_a_Day
207,The Dangerous Book for Boys,Conn Iggulden,"Recapture Sunday afternoons and long summer days. This is a wonderful collection of all things that make being young, or young at heart, fun.   Audio includes:  Questions About the World, How to Play Stickball, The Rules of Soccer, Fishing, Famous Battles, Extraordinary Stories, Girls, First Aid, The Seven Wonders of the Ancient World, Seven Modern Wonders of the World  The perfect book for every boy from eight to eighty. ",7343,4.03,"{'non-fiction': 216, 'reference': 76, 'childrens': 55, 'parenting': 25, 'history': 22, 'how-to': 21, 'science': 16, 'adventure': 16, 'humor': 15, 'self-help': 10}",non-fiction,reference,270,9780061243585,https://www.goodreads.com//book/show/204097.The_Dangerous_Book_for_Boys
208,The Elegant Universe,Brian Greene,"The international bestseller that inspired a major Nova special and sparked a new understanding of the universe, now with a new preface and epilogue.Brian Greene, one of the world's leading string theorists, peels away layers of mystery to reveal a universe that consists of eleven dimensions, where the fabric of space tears and repairs itself, and all matter—from the smallest quarks to the most gargantuan supernovas—is generated by the vibrations of microscopically tiny loops of energy. The Elegant Universe makes some of the most sophisticated concepts ever contemplated accessible and thoroughly entertaining, bringing us closer than ever to understanding how the universe works.",84853,4.07,"{'science': 3736, 'non-fiction': 1552, 'physics': 940, 'astronomy': 145, 'popular-science': 135}",science,non-fiction,464,9780393338102,https://www.goodreads.com//book/show/8049273-the-elegant-universe
209,The China Study,T. Colin Campbell,"More than thirty years ago, nutrition researcher T. Colin Campbell and his team at Cornell, in partnership with teams in China and England, embarked upon the China Study, the most comprehensive study ever undertaken of the relationship between diet and the risk of developing disease. What they found when combined with findings in Colin's laboratory, opened their eyes to the dangers of a diet high in animal protein and the unparalleled health benefits of a whole foods, plant-based diet.In 2005, Colin and his son Tom, now a physician, shared those findings with the world in The China Study, hailed as one of the most important books about diet and health ever written.Featuring brand new content, this heavily expanded edition of Colin and Tom's groundbreaking book includes the latest undeniable evidence of the power of a plant-based diet, plus updated information about the changing medical system and how patients stand to benefit from a surging interest in plant-based nutrition.The China Study - Updated and Expanded Edition presents a clear and concise message of hope as it dispels a multitude of health myths and misinformation. The basic message is clear. The key to a long, healthy life lies in three things: breakfast, lunch and dinner.",25034,4.23,"{'non-fiction': 748, 'food': 332, 'science': 195, 'vegan': 132, 'self-help': 49, 'diets': 41, 'reference': 38, 'audiobook': 24, 'unfinished': 20, 'medical': 20}",non-fiction,food,417,9781932100662,https://www.goodreads.com//book/show/178788.The_China_Study
210,Dead Wake,Erik Larson,"From the #1 New York Times bestselling author and master of narrative nonfiction comes the enthralling story of the sinking of the LusitaniaOn May 1, 1915, a luxury ocean liner as richly appointed as an English country house sailed out of New York, bound for Liverpool, carrying a record number of children and infants. The passengers were anxious. Germany had declared the seas around Britain to be a war zone, and for months, its U-boats had brought terror to the North Atlantic. But the Lusitania was one of the era's great transatlantic ""Greyhounds"" and her captain, William Thomas Turner, placed tremendous faith in the gentlemanly strictures of warfare that for a century had kept civilian ships safe from attack. He knew, moreover, that his ship - the fastest then in service - could outrun any threat. Germany, however, was determined to change the rules of the game, and Walther Schwieger, the captain of Unterseeboot-20, was happy to oblige. Meanwhile, an ultra-secret British intelligence unit tracked Schwieger's U-boat, but told no one. As U-20 and the Lusitania made their way toward Liverpool, an array of forces both grand and achingly small - hubris, a chance fog, a closely guarded secret, and more--all converged to produce one of the great disasters of history. It is a story that many of us think we know but don't, and Erik Larson tells it thrillingly, switching between hunter and hunted while painting a larger portrait of America at the height of the Progressive Era. Full of glamour, mystery, and real-life suspense, Dead Wake brings to life a cast of evocative characters, from famed Boston bookseller Charles Lauriat to pioneering female architect Theodate Pope Riddle to President Wilson, a man lost to grief, dreading the widening war but also captivated by the prospect of new love. Gripping and important, Dead Wake captures the sheer drama and emotional power of a disaster that helped place America on the road to war.",105133,4.09,"{'non-fiction': 3234, 'history': 3036, 'audiobook': 369, 'historical': 353, 'war': 339}",non-fiction,history,430,9780307408860,https://www.goodreads.com//book/show/22551730-dead-wake
211,The Devil's Teeth,Susan Casey,"Susan Casey was in her living room when she first saw the great white sharks of the Farallon Islands, just twenty-seven miles off the coast of San Francisco.In a matter of months, Casey went to the Farallon Islands to join Scot Anderson and Peter Pyle, the two biologists who bunk down during shark season each fall in the island's one habitable building. Two days later, she got her first glimpse of the famous, terrifying jaws up close and she was instantly hooked; her fascination soon yielded to obsession-and an invitation to return for a full season. But as Casey readied herself for the eight-week stint, she had no way of preparing for what she would find among the dangerous, forgotten islands that have banished every campaign for civilization in the past two hundred years.",5464,3.98,"{'non-fiction': 270, 'science': 103, 'nature': 54, 'animals': 51, 'adventure': 37, 'memoir': 18, 'audiobook': 13, 'travel': 13, 'natural-history': 10, 'environment': 9}",non-fiction,science,291,9780805080117,https://www.goodreads.com//book/show/91362.The_Devil_s_Teeth
212,Evicted,Matthew Desmond,"In Evicted, Princeton sociologist and MacArthur ""Genius"" Matthew Desmond follows eight families in Milwaukee as they struggle to keep a roof over their heads. Evicted transforms our understanding of poverty and economic exploitation while providing fresh ideas for solving one of 21st-century America's most devastating problems. Its unforgettable scenes of hope and loss remind us of the centrality of home, without which nothing else is possible.",60616,4.48,"{'non-fiction': 3003, 'sociology': 600, 'politics': 498, 'social-justice': 344, 'history': 288}",non-fiction,sociology,418,9780553447439,https://www.goodreads.com//book/show/25852784-evicted
213,Being Mortal,Atul Gawande,"In Being Mortal, author Atul Gawande tackles the hardest challenge of his profession: how medicine can not only improve life but also the process of its endingMedicine has triumphed in modern times, transforming birth, injury, and infectious disease from harrowing to manageable. But in the inevitable condition of aging and death, the goals of medicine seem too frequently to run counter to the interest of the human spirit. Nursing homes, preoccupied with safety, pin patients into railed beds and wheelchairs. Hospitals isolate the dying, checking for vital signs long after the goals of cure have become moot. Doctors, committed to extending life, continue to carry out devastating procedures that in the end extend suffering.Gawande, a practicing surgeon, addresses his profession's ultimate limitation, arguing that quality of life is the desired goal for patients and families. Gawande offers examples of freer, more socially fulfilling models for assisting the infirm and dependent elderly, and he explores the varieties of hospice care to demonstrate that a person's last weeks or months may be rich and dignified.",125504,4.45,"{'non-fiction': 3748, 'medicine': 1078, 'science': 1049, 'health': 633, 'medical': 586}",non-fiction,medicine,282,9780805095159,https://www.goodreads.com//book/show/20696006-being-mortal
214,The Constitution of the United States of America,Founding Fathers,"James Madison - often called the Father of the Constitution - described as ""neither wholly national, nor wholly federal"". By this, Madison meant that the Constitution established both a strong central power and protected state's rights. But to say that something is of two parts is not to say that the parts are equal. Advocates of state sovereignty believed the Constitution created an executive power that was so strong it might as well have been a monarchy. But advocates of national government felt that a strong executive was essential to steer America through crisis. Between these two positions, the living body of the Constitution was sculpted. Over and over, the delegates to the Philadelphia Convention clashed and compromised. Slavery, a bill of rights, legislative representation - all the battles over these issues are enshrined in the language of the Constitution. To fully appreciate the Constitution, it is necessary to understand the questions it sought to resolve.",24209,4.54,"{'history': 419, 'non-fiction': 340, 'politics': 316, 'classics': 182, 'philosophy': 92, 'law': 82}",history,non-fiction,127,9780760700761,https://www.goodreads.com//book/show/3193296-the-constitution-of-the-united-states-of-america
215,A Night to Remember,Walter Lord,"First published in 1955, A Night to Remember remains a completely riveting account of the Titanic's fatal collision and the behavior of the passengers and crew, both noble and ignominious. Some sacrificed their lives, while others fought like animals for their own survival. Wives beseeched husbands to join them in lifeboats; gentlemen went taut-lipped to their deaths in full evening dress; and hundreds of steerage passengers, trapped below decks, sought help in vain. ",16838,4.03,"{'history': 779, 'non-fiction': 702, 'historical': 96, 'classics': 94}",history,non-fiction,208,9780805077643,https://www.goodreads.com//book/show/61834.A_Night_to_Remember
216,Tuesdays with Morrie,Mitch Albom,"Maybe it was a grandparent, or a teacher or a colleague. Someone older, patient and wise, who understood you when you were young and searching, and gave you sound advice to help you make your way through it. For Mitch Albom, that person was Morrie Schwartz, his college professor from nearly twenty years ago.Maybe, like Mitch, you lost track of this mentor as you made your way, and the insights faded. Wouldn't you like to see that person again, ask the bigger questions that still haunt you? Mitch Albom had that second chance. He rediscovered Morrie in the last months of the older man's life. Knowing he was dying of ALS - or motor neurone disease - Mitch visited Morrie in his study every Tuesday, just as they used to back in college. Their rekindled relationship turned into one final 'class': lessons in how to live.",761863,4.11,"{'non-fiction': 4461, 'memoir': 1535, 'biography': 1111}",non-fiction,memoir,210,9780751529814,https://www.goodreads.com//book/show/6900.Tuesdays_with_Morrie
217,The Way Things Work,David Macaulay,"From levers to lasers, from cameras to computers, this volume is a remarkable overview of the machines and inventions that shape our lives, amusingly presented with a large dose of Macaulay's wit and personality. Full-color illustrations.",2486,4.34,"{'non-fiction': 135, 'science': 129, 'reference': 63, 'childrens': 45}",non-fiction,science,384,9780590429894,https://www.goodreads.com//book/show/304889.The_Way_Things_Work
218,The Third Chimpanzee,Jared Diamond,"At some point during the last 100,000 years, humans began exhibiting traits and behavior that distinguished us from other animals, eventually creating language, art, religion, bicycles, spacecraft, and nuclear weapons—all within a heartbeat of evolutionary time. Now, faced with the threat of nuclear weapons and the effects of climate change, it seems our innate tendencies for violence and invention have led us to a crucial fork in our road. Where did these traits come from? Are they part of our species immutable destiny? Or is there hope for our species’ future if we change?  With fascinating facts and his unparalleled readability, Diamond intended his book to improve the world that today’s young people will inherit. Triangle Square’s The Third Chimpanzee for Young People is a book for future generation and the future they’ll help build.",21455,4.06,"{'science': 997, 'non-fiction': 761, 'history': 344, 'anthropology': 291, 'evolution': 234, 'biology': 179}",science,non-fiction,407,9780060845506,https://www.goodreads.com//book/show/49234.The_Third_Chimpanzee
219,Complications,Atul Gawande,"In gripping accounts of true cases, surgeon Atul Gawande explores the power and the limits of medicine, offering an unflinching view from the scalpel's edge. Complications lays bare a science not in its idealized form but as it actually is--uncertain, perplexing, and profoundly human.Complications is a 2002 National Book Award Finalist for Nonfiction.",38403,4.26,"{'non-fiction': 1001, 'medicine': 759, 'science': 465, 'medical': 463, 'memoir': 158, 'health': 127}",non-fiction,medicine,270,9780312421700,https://www.goodreads.com//book/show/4477.Complications
220,The Code Book,Simon Singh,"In his first book since the bestselling Fermat’s Enigma, Simon Singh offers the first sweeping history of encryption, tracing its evolution and revealing the dramatic effects codes have had on wars, nations, and individual lives. From Mary, Queen of Scots, trapped by her own code, to the Navajo Code Talkers who helped the Allies win World War II, to the incredible (and incredibly simple) logisitical breakthrough that made Internet commerce secure, The Code Book tells the story of the most powerful intellectual weapon ever known: secrecy.Throughout the text are clear technical and mathematical explanations, and portraits of the remarkable personalities who wrote and broke the world’s most difficult codes. Accessible, compelling, and remarkably far-reaching, this book will forever alter your view of history and what drives it. It will also make you wonder how private that e-mail you just sent really is.",20888,4.30,"{'non-fiction': 1264, 'science': 995, 'history': 731, 'mathematics': 255}",non-fiction,science,412,9780385495325,https://www.goodreads.com//book/show/17994.The_Code_Book
221,Consider the Lobster and Other Essays,David Foster Wallace,"Do lobsters feel pain? Did Franz Kafka have a funny bone? What is John Updike's deal, anyway? And what happens when adult video starlets meet their fans in person? David Foster Wallace answers these questions and more in essays that are also enthralling narrative adventures. Whether covering the three-ring circus of a vicious presidential race, plunging into the wars between dictionary writers, or confronting the World's Largest Lobster Cooker at the annual Maine Lobster Festival, Wallace projects a quality of thought that is uniquely his and a voice as powerful and distinct as any in American letters.Contains: ""Big Red Son,"" ""Certainly the End of Something or Other, One Would Sort of Have to Think,"" ""Some Remarks on Kafka's Funniness from Which Probably Not Enough Has Been Removed,"" ""Authority and American Usage,"" ""The View from Mrs. Thompson's,"" ""How Tracy Austin Broke My Heart,"" ""Up, Simba,"" ""Consider the Lobster,"" ""Joseph Frank's Dostoevsky"" and ""Host.""",38599,4.23,"{'non-fiction': 1252, 'essays': 1163, 'philosophy': 161, 'humor': 151, 'short-stories': 143, 'literature': 86, 'american': 70, 'contemporary': 52, 'journalism': 46, 'unfinished': 42}",non-fiction,essays,343,9780316156110,https://www.goodreads.com//book/show/6751.Consider_the_Lobster_and_Other_Essays
222,In Cold Blood,Truman Capote,"On November 15, 1959, in the small town of Holcomb, Kansas, four members of the Clutter family were savagely murdered by blasts from a shotgun held a few inches from their faces. There was no apparent motive for the crime, and there were almost no clues. As Truman Capote reconstructs the murder and the investigation that led to the capture, trial, and execution of the killers, he generates both mesmerizing suspense and astonishing empathy. At the center of his study are the amoral young killers Perry Smith and Dick Hickcock, who, vividly drawn by Capote, are shown to be reprehensible yet entirely and frighteningly human. In Cold Blood is a seminal work of modern prose, a remarkable synthesis of journalistic skill and powerfully evocative narrative.",511217,4.07,"{'non-fiction': 7249, 'classics': 4048, 'true-crime': 3733, 'crime': 2022, 'mystery': 1032}",non-fiction,classics,343,9780679745587,https://www.goodreads.com//book/show/168642.In_Cold_Blood
223,The Tao of Pooh,Benjamin Hoff,"The Wisdom of Pooh.Is there such thing as a Western Taoist? Benjamin Hoff says there is, and this Taoist's favorite food is honey. Through brilliant and witty dialogue with the beloved Pooh-bear and his companions, the author of this smash bestseller explains with ease and aplomb that rather than being a distant and mysterious concept, Taoism is as near and practical to us as our morning breakfast bowl. Romp through the enchanting world of Winnie-the-Pooh while soaking up invaluable lessons on simplicity and natural living.",98595,3.99,"{'philosophy': 1705, 'non-fiction': 1241, 'religion': 441, 'spirituality': 414, 'self-help': 204, 'taoism': 125, 'audiobook': 115, 'humor': 97, 'classics': 95, 'inspirational': 68}",philosophy,non-fiction,176,9781405204262,https://www.goodreads.com//book/show/48757.The_Tao_of_Pooh
224,Garlic and Sapphires,Ruth Reichl,"Ruth Reichl, world-renowned food critic and editor in chief of Gourmet magazine, knows a thing or two about food. She also knows that as the most important food critic in the country, you need to be anonymous when reviewing some of the most high-profile establishments in the biggest restaurant town in the world--a charge she took very seriously, taking on the guise of a series of eccentric personalities. In Garlic and Sapphires, Reichl reveals the comic absurdity, artifice, and excellence to be found in the sumptuously appointed stages of the epicurean world and gives us--along with some of her favorite recipes and reviews--her remarkable reflections on how one's outer appearance can influence one's inner character, expectations, and appetites, not to mention the quality of service one receives.",35644,3.93,"{'non-fiction': 957, 'food': 857, 'memoir': 716, 'biography': 175}",non-fiction,food,334,9780143036616,https://www.goodreads.com//book/show/80642.Garlic_and_Sapphires
225,The River of Doubt,Candice Millard,"At once an incredible adventure narrative and a penetrating biographical portrait, The River of Doubt is the true story of Theodore Roosevelt’s harrowing exploration of one of the most dangerous rivers on earth.The River of Doubt—it is a black, uncharted tributary of the Amazon that snakes through one of the most treacherous jungles in the world. Indians armed with poison-tipped arrows haunt its shadows; piranhas glide through its waters; boulder-strewn rapids turn the river into a roiling cauldron.After his humiliating election defeat in 1912, Roosevelt set his sights on the most punishing physical challenge he could find, the first descent of an unmapped, rapids-choked tributary of the Amazon. Together with his son Kermit and Brazil’s most famous explorer, Cândido Mariano da Silva Rondon, Roosevelt accomplished a feat so great that many at the time refused to believe it. In the process, he changed the map of the western hemisphere forever.Along the way, Roosevelt and his men faced an unbelievable series of hardships, losing their canoes and supplies to punishing whitewater rapids, and enduring starvation, Indian attack, disease, drowning, and a murder within their own ranks. Three men died, and Roosevelt was brought to the brink of suicide. The River of Doubt brings alive these extraordinary events in a powerful nonfiction narrative thriller that happens to feature one of the most famous Americans who ever lived.From the soaring beauty of the Amazon rain forest to the darkest night of Theodore Roosevelt’s life, here is Candice Millard’s dazzling debut.",49103,4.17,"{'history': 1302, 'non-fiction': 1020, 'biography': 632, 'adventure': 263, 'travel': 174}",history,non-fiction,416,9780767913737,https://www.goodreads.com//book/show/78508.The_River_of_Doubt
226,Nicholas and Alexandra,Robert K. Massie,"The story of the love that ended an empire.In this commanding book, Pulitzer Prize–winning author Robert K. Massie sweeps readers back to the extraordinary world of Imperial Russia to tell the story of the Romanovs’ lives: Nicholas’s political naïveté, Alexandra’s obsession with the corrupt mystic Rasputin, and little Alexis’s brave struggle with hemophilia. Against a lavish backdrop of luxury and intrigue, Massie unfolds a powerful drama of passion and history—the story of a doomed empire and the death-marked royals who watched it crumble.",23612,4.27,"{'history': 1279, 'non-fiction': 775, 'biography': 735, 'russia': 330, 'historical': 129}",history,non-fiction,640,9780345438317,https://www.goodreads.com//book/show/133486.Nicholas_and_Alexandra
227,1421,Gavin Menzies,"On 3/8/1421, the largest fleet the world had ever seen set sail from China. Its mission was ""to proceed all the way to the ends of the earth to collect tribute from the barbarians beyond the seas"" & unite the whole world in Confucian harmony. When it returned in 10/1423, the emperor had fallen, leaving China in political & economic chaos. The great ships were left to rot at their moorings. Most records of their journeys were destroyed. Lost in China's long, self-imposed isolation that followed was the knowledge that Chinese ships had reached America 70 years before Columbus & had circumnavigated the globe a century before Magellan. Also concealed was how the Chinese colonized America before the Europeans & transplanted in America & other countries the principal economic crops that have fed & clothed the world.Unveiling incontrovertible evidence of these astonishing voyages, ""1421"" rewrites our understanding of history. Our knowledge of world exploration as it's been commonly accepted for centuries must now be reconceived due to this landmark work of historical investigation.",13051,3.60,"{'history': 802, 'non-fiction': 371, 'china': 143, 'asia': 43, 'historical': 37}",history,non-fiction,650,9780060540944,https://www.goodreads.com//book/show/4813.1421
228,The Lost,Daniel Mendelsohn,"In this rich and riveting narrative, a writer's search for the truth behind his family's tragic past in World War II becomes a remarkably original epic—part memoir, part reportage, part mystery, and part scholarly detective work—that brilliantly explores the nature of time and memory, family and history.The Lost begins as the story of a boy who grew up in a family haunted by the disappearance of six relatives during the Holocaust—an unmentionable subject that gripped his imagination from earliest childhood. Decades later, spurred by the discovery of a cache of desperate letters written to his grandfather in 1939 and tantalized by fragmentary tales of a terrible betrayal, Daniel Mendelsohn sets out to find the remaining eyewitnesses to his relatives' fates. That quest eventually takes him to a dozen countries on four continents and forces him to confront the wrenching discrepancies between the histories we live and the stories we tell. And it leads him, finally, back to the small Ukrainian town where his family's story began, and where the solution to a decades-old mystery awaits him.Deftly moving between past and present, interweaving a world-wandering odyssey with childhood memories of a now-lost generation of immigrant Jews and provocative ruminations on biblical texts and Jewish history, The Lost transforms the story of one family into a profound, morally searching meditation on our fragile hold on the past. Deeply personal, grippingly suspenseful, and beautifully written, this literary tour de force illuminates all that is lost, and found, in the passage of time.***Depuis qu’il est enfant, Daniel Mendelsohn sait que son grand-oncle Shmiel, sa femme et leurs quatre filles ont été tués, quelque part dans l’est de la Pologne, en 1941. Comment, quand, où exactement ? Nul ne peut lui en dire plus. Et puis il découvre ces lettres désespérées écrites en 1939 par Shmiel à son frère, installé en Amérique, des lettres pressant sa famille de les aider à partir, des lettres demeurées sans réponse... Parce qu’il a voulu savoir ce qui s’est passé, parce qu’il a voulu donner un visage à ces six disparus, Daniel Mendelsohn est parti sur leurs traces, rencontrant, année après année, des témoins épars dans une douzaine de pays. Cette quête, il en a fait un livre, puzzle vertigineux, roman policier haletant, plongée dans l’Histoire et l’oubli – un chef-d’œuvre. « Daniel Mendelsohn a écrit une œuvre puissamment émouvante sur le passé "" ; perdu "" ; d’une famille, qui rappelle à la fois l’opulence des œuvres en prose de Proust et les textes elliptiques de W.G. Sebald. Une réussite exceptionnelle. » Joyce Carol Oates « Les Disparus est une bouleversante enquête de détective à part entière, doublée d’un questionnement sur les interventions énigmatiques de Dieu dans les affaires humaines, et approfondie par une réflexion sur la part d’inéluctable et d’incompréhensible que le hasard introduit dans l’Histoire. » John Maxwell Cœtzee « Entre épopée et intimité, méditation et suspense, tragédie et hilarité, Les Disparus est un livre merveilleux. » Jonathan Safran Fœr « Mendelsohn réussit à assembler un tableau immensément humain dans lequel chaque témoin a un visage et chaque visage une histoire et un destin. » Elie Wiesel",5122,4.09,"{'non-fiction': 273, 'history': 247, 'holocaust': 143, 'memoir': 93, 'world-war-ii': 52, 'biography': 47}",non-fiction,history,512,9780060542979,https://www.goodreads.com//book/show/112286.The_Lost
229,The Uses of Enchantment,Bruno Bettelheim,"The famous child psychologist, Bruno Bettelheim, explains how fairy tales educate, support, and liberate the emotions of children.",4643,3.88,"{'non-fiction': 367, 'psychology': 262, 'fairy-tales': 103, 'folklore': 51, 'literary-criticism': 47, 'mythology': 43}",non-fiction,psychology,352,9780679723936,https://www.goodreads.com//book/show/444388.The_Uses_of_Enchantment
230,Animal Liberation,Peter Singer,"
The Book That Started A Revolution
Since its original publication in 1975, this groundbreaking work has awakened millions of concerned men and women to the shocking abuse of animals everywhere -- inspiring a worldwide movement to eliminate much of the cruel and unnecessary laboratory animal experimentation of years past. In this newly revised and expanded edition, author Peter Singer exposes the chilling realities of today's ""factory forms"" and product-testing procedures -- offering sound, humane solutions to what has become a profound environmental and social as well as moral issue. An important and persuasive appeal to conscience, fairness, decency and justice, Animal Liberation is essential reading for the supporter and the skeptic alike.",7103,4.26,"{'philosophy': 536, 'non-fiction': 414, 'animals': 150, 'vegan': 80}",philosophy,non-fiction,352,9780060011574,https://www.goodreads.com//book/show/29380.Animal_Liberation
231,"Hot, Flat, and Crowded",Thomas L. Friedman,"In this brilliant, essential book, Pulitzer Prize-winning author Thomas L. Friedman speaks to America's urgent need for national renewal and explains how a green revolution can bring about both a sustainable environment and a sustainable America. Friedman explains how global warming, rapidly growing populations, and the expansion of the world’s middle class through globalization have produced a dangerously unstable planet--one that is ""hot, flat, and crowded.""  In this Release 2.0 edition, he also shows how the very habits that led us to ravage the natural world led to the meltdown of the financial markets and the Great Recession.  The challenge of a sustainable way of life presents the United States with an opportunity not only to rebuild its economy, but to lead the world in radically innovating toward cleaner energy.  And it could inspire Americans to something we haven't seen in a long time--nation-building in America--by summoning the intelligence, creativity, and concern for the common good that are our greatest national resources. Hot, Flat, and Crowded is classic Thomas L. Friedman: fearless, incisive, forward-looking, and rich in surprising common sense about the challenge--and the promise--of the future.",13122,3.70,"{'non-fiction': 592, 'environment': 182, 'politics': 175, 'economics': 128, 'science': 122, 'business': 67}",non-fiction,environment,438,9780374166854,https://www.goodreads.com//book/show/2358737.Hot_Flat_and_Crowded
232,Positive Thoughts Positive Outcomes,Shane Senior,"Do you wish you could start all over again? Have you ever wondered if there was a way to change your life for the better? Positive Thoughts, Positive Outcomes is the quintessential step-by-step guide to transforming your life, using fourteen key tried and tested principles that others, including Author Shane Senior, has used for the past four years. Not only did the principles change his life for the better, but they've inspired him to help others reach their full potential and live the life they've always aspired to live. Take it from him, these principles work if applied correctly. There is no one size fits all for living the life of your dreams. Every individual needs to find their way. This book will help you find the best approach for you and provides the answers as to why they work and how to apply them to all aspects of your life, personal and professional.Inside, you'll learn: - How to use the Law of Attraction and what it is - How your environment affects your outcomes - How to build better, healthier habits for success - How the sub-conscious mind plays a crucial role in your everyday life - How living a life filled with gratitude can make your life better - How your health affects your mood and motivation - How positive affirmations can lead to success - And so much more! A book containing this much valuable information is hard to come by. There is life-changing value on every page. This guide has everything you need to know about your health, crystals, meditation, emotions, desires, and everything in between. Don't miss the opportunity to have all this information at your fingertips, contained within one book that's second to none.",35,4.34,"{'self-help': 5, 'health': 3}",self-help,health,248,9781916207103,https://www.goodreads.com//book/show/50816371-positive-thoughts-positive-outcomes
233,Meditations,Marcus Aurelius,"Written in Greek by the only Roman emperor who was also a philosopher, without any intention of publication, the Meditations of Marcus Aurelius offer a remarkable series of challenging spiritual reflections and exercises developed as the emperor struggled to understand himself and make sense of the universe. While the Meditations were composed to provide personal consolation and encouragement, Marcus Aurelius also created one of the greatest of all works of philosophy: a timeless collection that has been consulted and admired by statesmen, thinkers and readers throughout the centuries.",113532,4.23,"{'philosophy': 6916, 'non-fiction': 2099, 'classics': 2044, 'history': 697}",philosophy,non-fiction,303,9780140449334,https://www.goodreads.com//book/show/30659.Meditations
234,Who Moved My Cheese?,Spencer Johnson,"It is the amusing and enlightening story of four characters who live in a maze and look for cheese to nourish them and make them happy. Cheese is a metaphor for what you want to have in life, for example a good job, a loving relationship, money or possessions, health or spiritual peace of mind. The maze is where you look for what you want, perhaps the organisation you work in, or the family or community you live in. The problem is that the cheese keeps moving.In the story, the characters are faced with unexpected change in their search for the cheese. One of them eventually deals with change successfully and writes what he has learned on the maze walls for you to discover.",355782,3.81,"{'non-fiction': 2012, 'self-help': 1637, 'business': 1619, 'psychology': 503, 'leadership': 362, 'personal-development': 301, 'management': 220, 'philosophy': 188, 'inspirational': 149, 'buisness': 71}",non-fiction,self-help,96,9780091883768,https://www.goodreads.com//book/show/4894.Who_Moved_My_Cheese_
235,Dispatches,Michael Herr,"Written on the front lines in Vietnam, Dispatches became an immediate classic of war reportage when it was published in 1977.From its terrifying opening pages to its final eloquent words, Dispatches makes us see, in unforgettable and unflinching detail, the chaos and fervor of the war and the surreal insanity of life in that singular combat zone. Michael Herr’s unsparing, unorthodox retellings of the day-to-day events in Vietnam take on the force of poetry, rendering clarity from one of the most incomprehensible and nightmarish events of our time.Dispatches is among the most blistering and compassionate accounts of war in our literature.",15778,4.24,"{'non-fiction': 537, 'history': 510, 'war': 368, 'journalism': 121}",non-fiction,history,260,9780679735250,https://www.goodreads.com//book/show/4339.Dispatches
236,The Decline and Fall of the Roman Empire,Edward Gibbon,"Length: 126 hrs and 31 minsThe History of the Decline & Fall of the Roman Empire was written by English historian Edward Gibbon & originally published in six quarto volumes. Volume 1 was published in 1776, going thru six printings; 2-3 in 1781; 4-6 in 1788-89. It was a major literary achievement of the 18th century, adopted as a model for the methodologies of historians.The books cover the Roman Empire after Marcus Aurelius, from 180 to 1590. They take as their material the behavior & decisions that led to the eventual fall of the Empire in East & West, offering explanations.Gibbon is called the 1st modern historian of ancient Rome. By virtue of its mostly objective approach & accurate use of reference material, his work was adopted as a model for the methodologies of 19-20th century historians. His pessimism & detached irony was common to the historical genre of his era. Although he published other books, Gibbon devoted much of his life (1772-89) to this one work. His Memoirs of My Life & Writings is devoted largely to his reflections on how the book virtually became his life. He compared the publication of each succeeding volume to a newborn.Gibbon offers an explanation for why the Roman Empire fell, a task difficult because of few comprehensive written sources, tho he wasn't the only historian to tackle the subject. Most of his ideas are taken from what few relevant records were available: those of Roman moralists of the 4-5th centuries. According to Gibbon, the Empire succumbed to barbarian invasions because of lost of civic virtue. They'd become weak, outsourcing defence to barbarian mercenaries, who became so numerous & ingrained that they took over. Romans had become effeminate, incapable of tough military lifestyles. In addition, Christianity created belief that a better life existed after death, fostering indifference to the present, sapping patriotism. Its comparative pacifism tended to hamper martial spirit. Lastly, like other Enlightenment thinkers, he held in contempt the Middle Ages as a priest-ridden, superstitious, dark age. It wasn't until his age of reason that history could progress.",10965,3.96,"{'history': 1645, 'non-fiction': 469, 'classics': 282, 'ancient-history': 94, 'historical': 61}",history,non-fiction,1312,9780375758119,https://www.goodreads.com//book/show/19400.The_Decline_and_Fall_of_the_Roman_Empire
